Strike,BidVolP,AskVolP,BidVolC,AskVolC
2.4,NaN,1.125,0.52435,0.5659
2.45,NaN,2.0153,0.57042,0.6148
2.5,NaN,2.0285,0.61514,0.66224
2.55,NaN,NaN,0.6586,0.7083
2.6,NaN,NaN,0.70089,0.73026
2.3,NaN,1.716,0.4631,0.49758
2.35,NaN,0.91889,0.49846,0.52953
2.2,NaN,0.61255,0.40739,0.42372
2.25,NaN,1.6028,0.43101,0.4486
2.1,0.30404,0.41405,0.39962,0.41195
2.15,NaN,0.52371,0.39375,0.40634
2.05,0.33282,0.37226,0.37328,0.38202
2,0.34207,0.36183,0.36704,0.38594
1.95,0.35633,0.36267,-0.0006675,NaN
1.85,0.35155,0.34705,0.36256,0.42133
1.9,0.33912,0.35426,0.35723,0.37118
1.8,0.35412,0.37507,0.3784,0.43433